iter	Passed	Remaining
0	0	67
1	1	59
2	1	55
3	2	51
4	2	51
5	3	51
6	3	51
7	4	50
8	5	51
9	5	50
10	6	51
11	6	50
12	7	50
13	8	49
14	8	49
15	9	48
16	9	48
17	10	47
18	11	47
19	11	46
20	12	46
21	13	46
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	36	20
64	37	20
65	37	19
66	38	18
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	12
79	46	11
80	46	11
81	47	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
