iter	Passed	Remaining
0	50	50143
1	51	25465
2	51	17137
3	52	13045
4	52	10511
5	53	8831
6	53	7625
7	54	6730
8	54	6027
9	55	5462
10	55	5009
11	56	4630
12	56	4303
13	57	4025
14	57	3784
15	58	3571
16	58	3388
17	59	3224
18	59	3075
19	60	2941
20	60	2820
21	60	2709
22	61	2608
23	61	2518
24	62	2433
25	62	2349
26	63	2274
27	63	2203
28	63	2138
29	64	2078
30	64	2020
31	65	1968
32	65	1917
33	66	1875
34	66	1833
35	67	1795
36	67	1756
37	67	1718
38	68	1682
39	68	1648
40	69	1615
41	69	1583
42	69	1555
43	70	1528
44	70	1503
45	71	1477
46	71	1452
47	72	1428
48	72	1406
49	72	1385
50	73	1365
51	73	1344
52	74	1325
53	74	1306
54	75	1288
55	75	1270
56	75	1253
57	76	1237
58	76	1221
59	76	1206
60	77	1191
61	77	1177
62	78	1163
63	78	1150
64	79	1138
65	79	1126
66	80	1114
67	80	1102
68	80	1092
69	81	1081
70	81	1070
71	82	1059
72	82	1049
73	83	1038
74	83	1028
75	83	1020
76	84	1012
77	84	1002
78	85	993
79	85	985
80	86	976
81	86	967
82	86	957
83	87	948
84	87	941
85	87	933
86	88	926
87	88	918
88	89	911
89	89	904
90	89	898
91	90	892
92	90	885
93	91	880
94	91	873
95	92	868
96	92	862
97	92	855
98	93	850
99	93	844
100	94	838
101	94	833
102	95	827
103	95	822
104	95	816
105	96	811
106	96	807
107	97	802
108	97	798
109	98	793
110	98	788
111	98	783
112	99	778
113	99	774
114	99	769
115	100	765
116	100	760
117	101	757
118	101	753
119	102	749
120	102	746
121	103	742
122	103	738
123	103	734
124	104	730
125	104	726
126	105	721
127	105	718
128	105	714
129	106	711
130	106	707
131	107	704
132	107	701
133	108	698
134	108	695
135	108	691
136	109	688
137	109	684
138	110	681
139	110	678
140	110	675
141	111	670
142	111	667
143	111	664
144	112	661
145	112	658
146	112	655
147	113	653
148	113	650
149	114	648
150	114	645
151	115	643
152	115	640
153	115	637
154	116	634
155	116	631
156	117	628
157	117	626
158	117	623
159	118	620
160	118	617
161	119	615
162	119	613
163	119	611
164	120	609
165	120	606
166	121	604
167	121	602
168	121	599
169	122	597
170	122	594
171	123	592
172	123	590
173	123	588
174	124	587
175	125	585
176	125	584
177	126	581
178	126	579
179	126	577
180	127	575
181	127	573
182	128	571
183	128	569
184	128	567
185	129	565
186	129	563
187	130	562
188	130	560
189	131	558
190	131	557
191	131	555
192	132	554
193	132	552
194	133	550
195	133	548
196	134	546
197	134	545
198	135	543
199	135	542
200	135	540
201	136	538
202	136	537
203	137	535
204	137	533
205	138	532
206	138	530
207	138	529
208	139	527
209	139	525
210	140	524
211	140	522
212	140	520
213	141	519
214	141	517
215	142	516
216	142	515
217	143	513
218	143	512
219	143	510
220	144	508
221	144	507
222	145	506
223	145	504
224	145	502
225	146	501
226	146	499
227	147	497
228	147	496
229	147	494
230	148	493
231	148	492
232	149	491
233	149	489
234	149	488
235	150	486
236	150	484
237	150	483
238	151	481
239	151	480
240	152	479
241	152	477
242	152	476
243	153	475
244	153	473
245	154	472
246	154	471
247	155	470
248	155	469
249	155	467
250	156	466
251	156	465
252	157	463
253	157	462
254	157	461
255	158	459
